,band_name,fans,formed,origin,style
0,Iron Maiden,4195,1975,United Kingdom,New wave of british heavy
1,Opeth,4147,1990,Sweden,Extreme progressive
2,Metallica,3712,1981,USA,Heavy
3,Megadeth,3105,1983,USA,Thrash
4,Amon Amarth,3054,1988,Sweden,Melodic death
5,Slayer,2955,1981,USA,Thrash
6,Death,2690,1983,USA,Progressive death
7,Dream Theater,2329,1985,USA,Progressive
8,Black Sabbath,2307,1968,United Kingdom,Doom
9,Nightwish,2183,1996,Finland,Symphonic power
10,Children Of Bodom,2153,1993,Finland,Extreme power
11,Judas Priest,2094,1969,United Kingdom,Heavy
12,Blind Guardian,2040,1984,Germany,Power
13,In Flames,1932,1990,Sweden,Gothenburg
14,Pantera,1920,1981,USA,Heavy
15,Dark Tranquillity,1898,1989,Sweden,Gothenburg
16,Agalloch,1881,1995,USA,Atmospheric black
17,Ensiferum,1879,1995,Finland,Extreme folk
18,Arch Enemy,1750,1996,Sweden,Gothenburg
19,Katatonia,1735,1991,Sweden,Blackened doom
20,Behemoth,1721,1991,Poland,Death
21,Dimmu Borgir,1688,1993,Norway,Symphonic black
22,Kreator,1646,1982,Germany,Teutonic thrash
23,Wintersun,1640,2004,Finland,Extreme power
24,Insomnium,1547,1997,Finland,Melodic death
25,Amorphis,1528,1990,Finland,Death
26,Kamelot,1520,1991,USA,Symphonic power
27,Tool,1506,1988,USA,Progressive
28,Helloween,1501,1978,Germany,Speed
29,Testament,1500,1983,USA,Bay area thrash
30,Epica,1450,2002,Netherlands,Symphonic
31,Immortal,1436,1990,Norway,Death
32,Lamb Of God,1433,1999,USA,Groove thrash
33,Iced Earth,1403,1985,USA,Heavy
34,Anathema,1400,1990,United Kingdom,Death doom
35,Symphony X,1343,1994,USA,Progressive
36,Eluveitie,1328,2002,Switzerland,Celtic folk
37,Gojira,1300,1996,France,Progressive death
38,Rammstein,1251,1994,Germany,Industrial
39,Sonata Arctica,1242,1996,Finland,Power
40,Mastodon,1232,1999,USA,Progressive stoner
41,Nile,1189,1993,USA,Brutal death
42,Sepultura,1185,1984,Brazil,Alternative
43,Moonspell,1173,1989,Portugal,Folk
44,Therion,1167,1987,Sweden,Death
45,Cannibal Corpse,1162,1988,USA,Death
46,Enslaved,1146,1991,Norway,Viking black
47,Emperor,1132,1991,Norway,Black
48,Porcupine Tree,1094,1987,United Kingdom,Progressive rock
49,Cradle Of Filth,1084,1991,United Kingdom,Extreme gothic
50,Iron Maiden,4195,1975,United Kingdom,New wave of british heavy
51,Opeth,4147,1990,Sweden,Extreme progressive
52,Metallica,3712,1981,USA,Heavy
53,Megadeth,3105,1983,USA,Thrash
54,Amon Amarth,3054,1988,Sweden,Melodic death
55,Slayer,2955,1981,USA,Thrash
56,Death,2690,1983,USA,Progressive death
57,Dream Theater,2329,1985,USA,Progressive
58,Black Sabbath,2307,1968,United Kingdom,Doom
59,Nightwish,2183,1996,Finland,Symphonic power
60,Children Of Bodom,2153,1993,Finland,Extreme power
61,Judas Priest,2094,1969,United Kingdom,Heavy
62,Blind Guardian,2040,1984,Germany,Power
63,In Flames,1932,1990,Sweden,Gothenburg
64,Pantera,1920,1981,USA,Heavy
65,Dark Tranquillity,1898,1989,Sweden,Gothenburg
66,Agalloch,1881,1995,USA,Atmospheric black
67,Ensiferum,1879,1995,Finland,Extreme folk
68,Arch Enemy,1750,1996,Sweden,Gothenburg
69,Katatonia,1735,1991,Sweden,Blackened doom
70,Behemoth,1721,1991,Poland,Death
71,Dimmu Borgir,1688,1993,Norway,Symphonic black
72,Kreator,1646,1982,Germany,Teutonic thrash
73,Wintersun,1640,2004,Finland,Extreme power
74,Insomnium,1547,1997,Finland,Melodic death
75,Amorphis,1528,1990,Finland,Death
76,Kamelot,1520,1991,USA,Symphonic power
77,Tool,1506,1988,USA,Progressive
78,Helloween,1501,1978,Germany,Speed
79,Testament,1500,1983,USA,Bay area thrash
80,Epica,1450,2002,Netherlands,Symphonic
81,Immortal,1436,1990,Norway,Death
82,Lamb Of God,1433,1999,USA,Groove thrash
83,Iced Earth,1403,1985,USA,Heavy
84,Anathema,1400,1990,United Kingdom,Death doom
85,Symphony X,1343,1994,USA,Progressive
86,Eluveitie,1328,2002,Switzerland,Celtic folk
87,Gojira,1300,1996,France,Progressive death
88,Rammstein,1251,1994,Germany,Industrial
89,Sonata Arctica,1242,1996,Finland,Power
90,Mastodon,1232,1999,USA,Progressive stoner
91,Nile,1189,1993,USA,Brutal death
92,Sepultura,1185,1984,Brazil,Alternative
93,Moonspell,1173,1989,Portugal,Folk
94,Therion,1167,1987,Sweden,Death
95,Cannibal Corpse,1162,1988,USA,Death
96,Enslaved,1146,1991,Norway,Viking black
97,Emperor,1132,1991,Norway,Black
98,Porcupine Tree,1094,1987,United Kingdom,Progressive rock
99,Cradle Of Filth,1084,1991,United Kingdom,Extreme gothic
100,Be'lakor,1083,2004,Australia,Melodic death
101,My Dying Bride,1069,1990,United Kingdom,Death doom
102,Led Zeppelin,1054,1968,United Kingdom,Progressive hard rock
103,Nevermore,1051,1991,USA,Heavy
104,Stratovarius,1046,1982,Finland,Power
105,Paradise Lost,1042,1988,United Kingdom,Gothic
106,Dio,1023,1982,USA,Heavy
107,Kalmah,1004,1991,Finland,Extreme power
108,Carcass,1001,1985,United Kingdom,Grindcore
109,Burzum,978,1989,Norway,Black
110,Anthrax,976,1981,USA,Thrash
111,Morbid Angel,975,1984,USA,Death
112,Meshuggah,970,1987,Sweden,Technical thrash
113,Finntroll,967,1997,Finland,Extreme folk
114,Septicflesh,967,1990,Greece,Atmospheric death
115,Moonsorrow,966,1995,Finland,Viking folk
116,Machine Head,957,1992,USA,Groove thrash
117,System Of A Down,956,1995,USA,Alternative
118,Within Temptation,956,1996,Netherlands,Symphonic
119,Bathory,942,1983,Sweden,Viking black
120,Exodus,937,1980,USA,Bay area thrash
121,Draconian,936,1994,Sweden,Gothic doom
122,Slipknot,928,1995,USA,Alternative
123,AC/DC,923,1973,Australia,Hard rock
124,Ayreon,903,1995,Netherlands,Progressive
125,Swallow The Sun,900,2000,Finland,Melodic death
126,Gamma Ray,898,1988,Germany,Power
127,Rhapsody Of Fire,896,1993,Italy,Symphonic power
128,Hypocrisy,885,1990,Sweden,Death
129,Motörhead,875,1975,United Kingdom,Heavy
130,Bloodbath,872,1998,Sweden,Death
131,Korpiklaani,864,2003,Finland,Folk
132,Manowar,863,1980,USA,Heavy
133,HammerFall,861,1993,Sweden,Power
134,At The Gates,839,1990,Sweden,Melodic death
135,Sabaton,824,1999,Sweden,Power
136,Mayhem,823,1984,Norway,Death
137,Vader,822,1983,Poland,Death
138,Avantasia,819,1999,Germany,Symphonic power
139,Rotting Christ,807,1987,Greece,Black
140,Summoning,799,1993,Austria,Atmospheric black
141,Sodom,783,1980,Germany,Teutonic thrash
142,Overkill,770,1980,USA,Thrash
143,Dissection,768,1989,Sweden,Melodic death
144,Satyricon,768,1990,Norway,Black
145,Rush,767,1968,Canada,Progressive rock
146,Darkthrone,753,1986,Norway,Death
147,Ozzy Osbourne,750,1979,United Kingdom,Heavy
148,Devin Townsend,747,1996,Canada,Industrial progressive
149,Alcest,734,2000,France,Black
150,Equilibrium,729,2001,Germany,Viking folk
151,Deep Purple,714,1968,United Kingdom,Heavy
152,Edguy,714,1992,Germany,Power
153,Soilwork,702,1995,Sweden,Gothenburg
154,Riverside,684,2001,Poland,Progressive
155,Trivium,681,2000,USA,Metalcore
156,Turisas,672,1997,Finland,Folk
157,Orphaned Land,662,1991,Israel,Progressive folk
158,Apocalyptica,656,1993,Finland,Symphonic heavy
159,King Diamond,641,1985,Denmark,Heavy
160,Angra,633,1991,Brazil,Progressive power
161,Deicide,628,1987,USA,Death
162,Alice In Chains,627,1985,USA,Grunge 
163,Haggard,622,1991,Germany,Experimental death
164,Disturbed,620,1996,USA,Nu
165,DragonForce,607,1999,United Kingdom,Power
166,Lacuna Coil,604,1994,Italy,Gothic
167,Accept,601,1968,Germany,Heavy
168,Arcturus,601,1990,Norway,Avantgarde black
169,Omnium Gatherum,599,1996,Finland,Melodic death
170,Obituary,596,1984,USA,Death
171,Pain Of Salvation,596,1984,Sweden,Progressive
172,Necrophagist,595,1992,Germany,Technical death
173,Fear Factory,594,1989,USA,Industrial
174,Tristania,594,1996,Norway,Symphonic gothic
175,Decapitated,587,1996,Poland,Technical death
176,Fleshgod Apocalypse,586,2007,Italy,Symphonic death
177,Primordial,583,1987,Ireland,Black
178,Candlemass,579,1984,Sweden,Epic doom
179,Scar Symmetry,574,2004,Sweden,Melodic death
180,Eternal Tears Of Sorrow,573,1991,Finland,Extreme power
181,Marduk,567,1990,Sweden,Black
182,Annihilator,565,1984,Canada,Thrash
183,Alestorm,558,2004,United Kingdom,Folk
184,Ghost,547,2008,Sweden,Heavy
185,Ulver,545,1992,Norway,Folk
186,Cynic,542,1987,USA,Progressive death
187,Ne Obliviscaris,539,2003,Australia,Extreme progressive
188,In Mourning,533,2000,Sweden,Gothic
189,Obscura,532,2002,Germany,Progressive death
190,Korn,531,1993,USA,Nu
191,Evergrey,528,1996,Sweden,Progressive
192,Týr,526,1998,Faroe Islands,Folk
193,Type O Negative,526,1989,USA,Gothic
194,Mercyful Fate,525,1981,Denmark,Heavy
195,Saturnus,522,1991,Denmark,Death
196,Bolt Thrower,519,1986,United Kingdom,Death
197,Scorpions,519,1965,Germany,Progressive rock
198,Napalm Death,516,1981,United Kingdom,Hardcore
199,Windir,514,1994,Norway,Viking black
200,Sentenced,510,1988,Finland,Death
201,Tiamat,510,1988,Sweden,Death
202,Killswitch Engage,500,1999,USA,Melodic metalcore
203,Gorgoroth,498,1992,Norway,Black
204,Celtic Frost,497,1984,Switzerland,First wave of black
205,Rainbow,497,1975,United Kingdom,Hard rock
206,Suffocation,497,1990,USA,Brutal death
207,Kataklysm,493,1991,Canada,Death
208,Dying Fetus,488,1991,USA,Brutal death
209,Norther,488,1996,Finland,Extreme power
210,Sirenia,488,2001,Norway,Symphonic gothic
211,Savatage,482,1978,USA,Progressive heavy
212,Empyrium,481,1994,Germany,Doom
213,Guns N' Roses,481,1985,USA,Hard rock
214,Venom,481,1979,United Kingdom,First wave of black
215,Dark Funeral,479,1993,Sweden,Black
216,Avenged Sevenfold,477,1999,USA,Metalcore
217,Destruction,477,1983,Germany,Teutonic thrash
218,Edge Of Sanity,472,1989,Sweden,Progressive death
219,After Forever,470,1995,Netherlands,Symphonic gothic
220,Ihsahn,464,2005,Norway,Extreme progressive
221,Diablo Swing Orchestra,458,2003,Sweden,Avantgarde
222,Arkona,450,2002,Russian Federation,Pagan folk
223,Leprous,444,2001,Norway,Progressive
224,Between The Buried And Me,441,2000,USA,Progressive metalcore
225,Death Angel,441,1982,USA,Bay area thrash
226,W.A.S.P.,440,1982,USA,Heavy
227,As I Lay Dying,424,2001,USA,Melodic metalcore
228,Black Label Society,424,1998,USA,Heavy
229,Borknagar,420,1995,Norway,Melodic black
230,Isis,420,1997,USA,Post-metal
231,Soulfly,417,1997,USA,Groove thrash
232,Atheist,411,1984,USA,Technical death
233,DevilDriver,411,2002,USA,Nu
234,Shining,410,1996,Sweden,Depressive black
235,Strapping Young Lad,409,1995,Canada,Industrial
236,The Gathering,409,1989,Netherlands,Doom
237,Anaal Nathrakh,399,1998,United Kingdom,Black
238,Ghost Brigade,398,2005,Finland,Post-metal
239,Delain,395,2002,Netherlands,Symphonic
240,Watain,391,1998,Sweden,Black
241,Saxon,387,1976,United Kingdom,New wave of british heavy
242,Vektor,387,2002,USA,Technical thrash
243,Immolation,386,1986,USA,Death
244,Firewind,382,1998,Greece,Power
245,Mors Principium Est,381,1999,Finland,Gothenburg
246,Samael,381,1987,Switzerland,Black
247,Bullet For My Valentine,379,1998,United Kingdom,Melodic metalcore
248,Entombed,379,1987,Sweden,Death
249,Steven Wilson,375,2003,United Kingdom,Progressive rock
250,Xandria,372,1994,Germany,Gothic
251,Drudkh,369,2002,Ukraine,Atmospheric black
252,Animals As Leaders,367,2007,USA,Progressive
253,Queensrÿche,367,1981,USA,Heavy
254,Powerwolf,364,2003,Germany,Power
255,Belphegor,363,1991,Austria,Black
256,Alice Cooper,362,1964,USA,Hard rock
257,Before The Dawn,359,1999,Finland,Gothic
258,The Faceless,358,2004,USA,Deathcore
259,Deftones,357,1988,USA,Nu
260,Primal Fear,354,1997,Germany,Power
261,Theatre Of Tragedy,354,1993,Norway,Gothic
262,KISS,352,1972,USA,Hard rock
263,Down,351,1991,USA,Heavy
264,Skeletonwitch,349,2003,USA,Blackened thrash
265,Rage Against The Machine,344,1991,USA,Alternative
266,Wolves In The Throne Room,343,2004,USA,Atmospheric black
267,Five Finger Death Punch,342,2005,USA,Groove metal
268,Electric Wizard,341,1993,United Kingdom,Doom
269,Nine Inch Nails,341,1988,USA,Industrial rock
270,Novembers Doom,341,1989,USA,Death doom
271,Dethklok,337,2006,USA,Melodic death
272,Faith No More,337,1981,USA,Alternative
273,Cryptopsy,334,1988,Canada,Brutal death
274,Falkenbach,332,1989,Germany,Black
275,Graveworm,331,1992,Italy,Gothic
276,Taake,331,1993,Norway,Black
277,Grave Digger,328,1980,Germany,Heavy
278,Rob Zombie,326,1998,USA,Alternative
279,The Black Dahlia Murder,326,2001,USA,Melodic death
280,Running Wild,324,1976,Germany,Heavy
281,Neurosis,322,1985,USA,Atmospheric sludge
282,Carach Angren,320,2003,Netherlands,Symphonic black
283,Dark Moor,320,1994,Spain,Symphonic power
284,Baroness,319,2003,USA,Sludge
285,King Crimson,319,1969,United Kingdom,Progressive rock
286,Shape Of Despair,319,1995,Finland,Funeral doom
287,Bruce Dickinson,315,1989,United Kingdom,Heavy
288,Demons And Wizards,315,1999,USA,Heavy
289,Deathspell Omega,314,1998,France,Black
290,Lacrimosa,312,1990,Germany,Gothic
291,Coroner,311,1985,Switzerland,Technical thrash
292,Masterplan,311,2001,Germany,Progressive power
293,Tarja,310,2004,Finland,Symphonic
294,Ahab,309,2004,Germany,Funeral doom
295,Melechesh,307,1993,Israel,Melodic black
296,Rage,306,1986,Germany,Heavy
297,Cult Of Luna,305,1998,Sweden,Post-metal
298,Suidakra,305,1994,Germany,Melodic death
299,Yngwie Malmsteen,304,1978,Sweden,Neoclassical power
300,Kyuss,301,1988,USA,Stoner
301,All That Remains,298,1998,USA,Melodic metalcore
302,Marilyn Manson,298,1989,USA,Industrial rock
303,Sólstafir,297,1995,Iceland,Atmospheric black
304,Woods Of Ypres,297,2002,Canada,Melodic black
305,Blut Aus Nord,296,1994,France,Atmospheric black
306,Godsmack,296,1995,USA,Alternative
307,Haken,293,2007,United Kingdom,Progressive
308,HIM,293,1995,Finland,Suomi
309,Warbringer,293,2004,USA,Thrash
310,Havok,289,2004,USA,Thrash
311,Novembre,288,1990,Italy,Death doom
312,Evile,285,2004,United Kingdom,Thrash
313,Six Feet Under,283,1993,USA,Death
314,Leaves' Eyes,281,2003,Germany,Atmospheric symphonic
315,Old Man's Child,281,1989,Norway,Thrash
316,Chimaira,280,1998,USA,Groove thrash
317,Persefone,279,2001,Andorra,Melodic death
318,Heaven Shall Burn,276,1996,Germany,Metalcore
319,Myrath,275,2001,Tunisia,Progressive
320,Freedom Call,272,1998,Germany,Power
321,Green Carnation,272,1990,Norway,Death
322,High On Fire,272,1998,USA,Stoner
323,Metal Church,268,1980,USA,Heavy
324,Sylosis,267,2000,United Kingdom,Melodic death
325,Danzig,266,1988,USA,Hard rock
326,Elvenking,265,1997,Italy,Folk
327,Triptykon,265,2008,Switzerland,Blackened thrash
328,Volbeat,264,2001,Denmark,Heavy
329,The Haunted,263,1996,Sweden,Alternative thrash
330,Carpathian Forest,262,1990,Norway,Black
331,Van Halen,262,1972,USA,Hard rock
332,Falconer,261,1999,Sweden,Folk
333,Pain,261,1996,Sweden,Gothic industrial
334,Unleashed,260,1989,Sweden,Melodic death
335,Protest The Hero,258,2001,Canada,Metalcore
336,Gorguts,257,1989,Canada,Death
337,Circus Maximus,256,2000,Norway,Progressive
338,Aborted,255,1995,Belgium,Brutal death
339,Municipal Waste,254,2000,USA,Crossover thrash
340,Virgin Black,253,1995,Australia,Gothic
341,Dismember,252,1988,Sweden,Death
342,Joe Satriani,252,1984,USA,Hard rock
343,Barren Earth,250,2007,Finland,Melodic death
344,Dream Evil,250,1999,Sweden,Heavy
345,Krisiun,249,1990,Brazil,Brutal death
346,Negur? Bunget,249,1995,Romania,Black
347,Uaral,248,1996,Chile,Doom
348,Amaranthe,247,2008,Sweden,Power
349,Whitesnake,247,1978,United Kingdom,Hard rock
350,Quo Vadis,246,1992,Canada,Technical death
351,Mercenary,245,1991,Denmark,Melodic death
352,Pestilence,245,1986,Netherlands,Death
353,The Agonist,244,2004,Canada,Metalcore
354,Cavalera Conspiracy,243,2007,USA,Thrash
355,Mudvayne,243,1996,USA,Nu
356,Origin,243,1997,USA,Technical death
357,The Ocean,243,2000,Germany,Post-metal
358,Vintersorg,243,1994,Sweden,Black
359,Voivod,243,1982,Canada,Thrash
360,Fates Warning,242,1982,USA,Us power
361,Skid Row,240,1987,USA,Heavy
362,Unexpect,239,1996,Canada,Extreme avantgarde
363,Vital Remains,239,1989,USA,Death
364,Kvelertak,238,2007,Norway,Blackened hardcore
365,1349,236,1997,Norway,Black
366,Mötley Crüe,236,1981,USA,Glam rock
367,Tankard,236,1982,Germany,Thrash
368,Dragonland,235,1999,Sweden,Symphonic power
369,Cattle Decapitation,234,1996,USA,Deathgrind
370,Revocation,234,2006,USA,Technical death
371,Pagan's Mind,233,2000,Norway,Progressive
372,Artillery,232,1982,Denmark,Thrash
373,Shade Empire,232,1999,Finland,Symphonic black
374,Arsis,231,2000,USA,Melodic death
375,Autopsy,231,1987,USA,Death
376,Dark Fortress,230,1994,Germany,Black
377,Lake Of Tears,230,1992,Sweden,Gothic
378,Daylight Dies,229,1996,USA,Melodic death
379,Lost Horizon,229,1990,Sweden,Power
380,TesseracT,226,2003,United Kingdom,Progressive math
381,Keep Of Kalessin,222,1994,Norway,Black
382,Toxic Holocaust,222,1999,USA,Blackened thrash
383,Possessed,220,1983,USA,Death
384,3 Inches Of Blood,219,1999,Canada,Heavy
385,Allegaeon,218,2005,USA,Technical death
386,Beyond Creation,217,2005,Canada,Technical death
387,Catamenia,215,1995,Finland,Melodic black
388,Def Leppard,215,1977,United Kingdom,New wave of british heavy
389,Hatebreed,215,1994,USA,Hardcore
390,Heavenly,215,1994,France,Power
391,Heidevolk,215,2002,Netherlands,Folk
392,Soundgarden,215,1984,USA,Grunge 
393,Textures,215,2001,Netherlands,Progressive math
394,Sigh,214,1989,Japan,Death
395,Antimatter,213,1998,United Kingdom,Atmospheric rock
396,Clutch,213,1990,USA,Hard rock
397,Crematory,211,1991,Germany,Death
398,Gorod,211,1997,France,Technical death
399,Les Discrets,211,2003,France,Black
400,October Tide,211,1995,Sweden,Death doom
401,Periphery,211,2005,USA,Progressive math
402,Seventh Wonder,211,2000,Sweden,Progressive
403,Stone Sour,209,1992,USA,Hard rock
404,Estatic Fear,208,1994,Austria,Symphonic doom
405,Malevolent Creation,208,1987,USA,Death
406,Esoteric,207,1992,United Kingdom,Psychedelic doom
407,Hate Eternal,207,1996,USA,Brutal death
408,The Foreshadowing,207,1999,Italy,Doom
409,Atoma,206,2011,Sweden,Post-metal
410,Deathstars,206,2000,Sweden,Industrial gothic
411,Luca Turilli's Rhapsody,206,2011,Italy,Symphonic power
412,Iron Savior,205,1996,Germany,Power
413,Asphyx,204,1987,Netherlands,Death
414,Control Denied,204,1995,USA,Progressive
415,Job For A Cowboy,203,2002,USA,Deathcore
416,Heaven And Hell,201,2006,USA,Heavy
417,Thyrfing,200,1995,Sweden,Viking black
418,Ministry,199,1981,USA,Industrial
419,Queens Of The Stone Age,199,1997,USA,Stoner
420,Slumber,199,2002,Sweden,Melodic doom
421,Threshold,199,1988,United Kingdom,Progressive
422,Grave,198,1986,Sweden,Death
423,Naglfar,198,1992,Sweden,Melodic black
424,Benighted,197,1998,France,Brutal death
425,Lordi,195,1992,Finland,Hard rock
426,Alter Bridge,194,2004,USA,Hard rock
427,Doom:VS,194,2004,Sweden,Funeral doom
428,Finsterforst,194,2004,Germany,Pagan folk
429,Luca Turilli,192,1999,Italy,Symphonic power
430,Shadows Fall,192,1996,USA,Modern thrash
431,Steve Vai,191,1982,USA,Progressive rock
432,Twisted Sister,191,1972,USA,Hard rock
433,Suicidal Tendencies,190,1981,USA,Crossover thrash
434,Whitechapel,189,2006,USA,Deathcore
435,Jeff Loomis,188,2005,USA,Progressive
436,Månegarm,188,1995,Sweden,Black
437,Van Canto,188,2006,Germany,Power
438,Nuclear Assault,187,1984,USA,Thrash
439,A Forest Of Stars,186,2007,United Kingdom,Atmospheric black
440,All Shall Perish,186,2002,USA,Deathcore
441,The Sword,186,2003,USA,Doom
442,Caladan Brood,185,2008,USA,Atmospheric black
443,Galneryus,185,2001,Japan,Power
444,Adagio,184,2000,France,Progressive
445,Akercocke,184,1996,United Kingdom,Black
446,Axel Rudi Pell,184,1989,Germany,Heavy
447,Edenbridge,184,1998,Austria,Symphonic
448,Inquisition,184,1988,Colombia,Black
449,Chthonic,183,1995,China,Melodic black
450,Dark Angel,183,1981,USA,Bay area thrash
451,Parkway Drive,183,2002,Australia,Metalcore
452,Psycroptic,183,1999,Australia,Technical death
453,Poisonblack,182,2000,Finland,Suomi
454,The Dillinger Escape Plan,182,1997,USA,Math
455,Deafheaven,179,2010,USA,Atmospheric black
456,Rapture,179,1998,Finland,Melodic death
457,Kauan,178,2005,Russian Federation,Folk
458,Into Eternity,177,1997,Canada,Melodic death
459,Thy Catafalque,177,1998,Hungary,Avantgarde black
460,Enshine,175,2009,,Gothic doom
461,Kylesa,173,2001,USA,Sludge
462,Cain's Offering,172,2005,Finland,Power
463,Cathedral,172,1989,United Kingdom,Doom
464,Forbidden,172,1985,USA,Bay area thrash
465,Spawn Of Possession,172,1997,Sweden,Brutal death
466,Soen,171,2004,Sweden,Progressive
467,Dalriada,170,2006,Hungary,Folk
468,Evoken,170,1992,USA,Death
469,Misery Index,170,2001,USA,Deathgrind
470,August Burns Red,169,2003,USA,Technical metalcore
471,Disarmonia Mundi,169,2000,Italy,Gothenburg
472,In Vain,168,2003,Norway,Death
473,Jorn,167,2000,Norway,Heavy
474,Absu,166,1989,USA,Death
475,Anorexia Nervosa,166,1995,France,Symphonic black
476,Charon,166,1992,Finland,Suomi
477,Suicide Silence,166,2002,USA,Deathcore
478,Vomitory,166,1989,Sweden,Death
479,Born Of Osiris,165,2003,USA,Progressive deathcore
480,Sleep,165,1990,USA,Stoner
481,Unearth,165,1998,USA,Metalcore
482,Forest Of Shadows,164,1997,Sweden,Death doom
483,Goatwhore,164,1997,USA,Blackened thrash
484,Noumena,164,1998,Finland,Melodic death
485,Stream Of Passion,164,2005,Netherlands,Symphonic progressive
486,White Zombie,164,1985,USA,Noise rock
487,Onslaught,162,1983,United Kingdom,Thrash
488,Thin Lizzy,162,1969,Ireland,Hard rock
489,Ulcerate,162,2000,New Zealand,Technical death
490,Battlelore,161,1999,Finland,Folk
491,Black Sun Aeon,161,2008,Finland,Melodic death
492,Lacrimas Profundere,161,1993,Germany,Doom
493,Nocturnal Rites,161,1990,Sweden,Power
494,Heathen,160,1984,USA,Bay area thrash
495,Pelican,160,2001,USA,Instrumental post-metal
496,Acid Bath,159,1990,USA,Doom
497,Amberian Dawn,158,2006,Finland,Symphonic power
498,Converge,158,1990,USA,Metalcore
499,Serenity,158,2001,Austria,Symphonic power
500,Star One,158,2002,Netherlands,Progressive
501,Mar De Grises,157,2000,Chile,Doom
502,Wolfheart,157,2013,Finland,Melodic death
503,Darkspace,156,1999,Switzerland,Ambient black
504,Legion Of The Damned,156,2005,Netherlands,Thrash
505,Liquid Tension Experiment,155,1998,USA,Progressive
506,Tarot,155,1985,Finland,Power
507,The Sins Of Thy Beloved,154,1996,Norway,Symphonic gothic
508,The Vision Bleak,154,2000,Germany,Gothic
509,Fallujah,153,2007,USA,Progressive death
510,Witherscape,153,2013,Sweden,Atmospheric death
511,Einherjer,152,1993,Norway,Viking folk
512,Primus,152,1984,USA,Alternative
513,Sunn O))),152,1998,USA,Drone doom
514,Airbourne,151,2001,Australia,Hard rock
515,Decrepit Birth,151,2001,USA,Brutal death
516,Grand Magus,151,1996,Sweden,Doom
517,Uriah Heep,151,1969,United Kingdom,Hard rock
518,Flotsam And Jetsam,150,1983,USA,Thrash
519,Blotted Science,149,2005,USA,Progressive
520,Limbonic Art,149,1993,Norway,Symphonic black
521,Shadow Gallery,149,1985,USA,Progressive
522,Fen,148,2006,United Kingdom,Atmospheric black
523,Skyfire,148,1995,Sweden,Extreme power
524,Corrosion Of Conformity,146,1982,USA,Stoner
525,Vanden Plas,146,1990,Germany,Power
526,Halford,145,1999,United Kingdom,Heavy
527,In Extremo,145,1995,Germany,Medieval folk
528,Mg?a,145,2000,Poland,Black
529,Solution .45,145,2007,Sweden,Melodic death
530,Whispered,145,2001,Finland,Extreme power
531,Diamond Head,144,1976,United Kingdom,New wave of british heavy
532,Hate,144,1990,Poland,Death
533,God Dethroned,143,1990,Netherlands,Death
534,Vreid,143,2004,Norway,Black
535,In The Silence,142,2009,USA,Progressive
536,Static-X,142,1994,USA,Nu
537,Nachtmystium,141,2000,USA,Black
538,Royal Hunt,141,1989,Denmark,Symphonic power
539,Xasthur,141,1995,USA,Depressive black
540,Suicidal Angels,140,2001,Greece,Thrash
541,Wolfchant,140,2003,Germany,Pagan folk
542,ReVamp,139,2009,Netherlands,Symphonic
543,Sadus,139,1984,USA,Death
544,Blackfield,138,2000,Israel,Progressive rock
545,Nightrage,138,2000,Greece,Melodic death
546,The 69 Eyes,138,1990,Finland,Gothic
547,Pyramaze,137,2001,Denmark,Progressive power
548,Serj Tankian,137,2007,USA,Alternative
549,Gloryhammer,136,2010,United Kingdom,Power
550,Hour Of Penance,136,1999,Italy,Brutal death
551,Kalisia,136,1994,France,Progressive death
552,Nargaroth,136,1996,Germany,Black
553,Trail Of Tears,136,1996,Norway,Gothic
554,Sanctuary,135,1985,USA,Us power
555,Woods Of Desolation,135,2005,Australia,Atmospheric black
556,Agathodaimon,134,1995,Germany,Symphonic black
557,Sinergy,134,1997,Sweden,Heavy
558,Sonic Syndicate,134,2002,Sweden,Gothenburg
559,Wuthering Heights,134,1989,Denmark,Progressive power
560,I,133,2006,Norway,Blackened heavy
561,Heavenwood,132,1992,Portugal,Death
562,Pig Destroyer,132,1997,USA,Grindcore
563,Doro,131,1987,Germany,Hard rock
564,Incantation,131,1989,USA,Death
565,Virgin Steele,131,1981,USA,Heavy
566,Anvil,130,1978,Canada,Heavy
567,Bal-Sagoth,130,1989,United Kingdom,Symphonic black
568,Crowbar,130,1989,USA,Sludge
569,Mourning Beloveth,130,1992,Ireland,Death doom
570,Oranssi Pazuzu,130,2007,Finland,Psychedelic black
571,Saor,130,2013,United Kingdom,Atmospheric black
572,Ancient Bards,129,2006,Italy,Symphonic power
573,Dark Lunacy,129,1997,Italy,Melodic death
574,Fairyland,129,1998,France,Symphonic power
575,Gama Bomb,129,2002,Ireland,Thrash
576,In The Woods...,129,1991,Norway,Black
577,Leviathan,129,1998,USA,Ambient black
578,Sybreed,129,2003,Switzerland,Groove thrash
579,Spiritual Beggars,127,1992,Sweden,Heavy
580,In This Moment,126,2005,USA,Melodic metalcore
581,Saint Vitus,126,1979,USA,Doom
582,U.D.O.,126,1987,Germany,Heavy
583,Atreyu,125,1998,USA,Melodic metalcore
584,Communic,125,2003,Norway,Progressive
585,Godflesh,125,1988,United Kingdom,Industrial
586,Nightingale,125,1994,Sweden,Gothic
587,Anubis Gate,124,2001,Denmark,Progressive
588,Deströyer 666,124,1994,Australia,Blackened thrash
