,band_name,fans,formed,origin,style
1657,Arcana Coelestia,26,2005,Italy,Funeral doom
1658,Bornholm,26,2000,Hungary,Pagan black
1659,Bulldozer,26,1980,Italy,Thrash
1660,Cage,26,1992,USA,Heavy
1661,Cold Body Radiation,26,2009,Netherlands,Atmospheric black
1662,Crystal Eyes,26,1992,Sweden,Power
1663,Deathchain,26,2001,Finland,Thrash
1664,Derek Sherinian,26,1996,USA,Progressive
1665,Desolate Shrine,26,2010,Finland,Death
1666,Destroy Destroy Destroy,26,2003,USA,Extreme power
1667,Drowning The Light,26,2003,Australia,Black
1668,Elegy,26,1992,Netherlands,Progressive power
1669,Elf,26,1967,USA,Blues rock
1670,Fozzy,26,1999,USA,Heavy
1671,Gardenian,26,1996,Sweden,Melodic death
1672,Hades Almighty,26,1998,Norway,Black
1673,Holy Terror,26,1985,USA,Thrash
1674,HolyHell,26,2005,USA,Symphonic power
1675,Illidiance,26,2004,Russian Federation,Symphonic black
1676,Lord,26,2003,Australia,Power
1677,Manslaughter,26,2007,Poland,Death
1678,Obtest,26,1992,Lithuania,Brutal death
1679,Oceans Of Slumber,26,2011,USA,Extreme progressive
1680,Ram-Zet,26,1998,Norway,Extreme avantgarde
1681,Sacrifice,26,1983,Canada,Thrash
1682,Salem,26,1985,Israel,Black
1683,Satariel,26,1993,Sweden,Black
1684,Shakra,26,1997,Switzerland,Hard rock
1685,Tharaphita,26,1995,Estonia,Pagan black
1686,The Black Mages,26,2003,Japan,Progressive
1687,Thy Serpent,26,1992,Finland,Melodic black
1688,To Cast A Shadow,26,2005,Norway,Doom
1689,Yggdrasil,26,2001,Sweden,Folk
1690,1000 Funerals,25,2005,Iran,Funeral doom
1691,Aaskereia,25,1997,Germany,Pagan black
1692,Amaran,25,2000,Sweden,Gothenburg
1693,Angelcorpse,25,1995,USA,Blackened death
1694,ASP,25,1999,Germany,Industrial gothic
1695,Beyond Fear,25,2005,USA,Heavy
1696,Blackthorn,25,2004,Russian Federation,Symphonic gothic
1697,Blitzkrieg,25,1980,United Kingdom,New wave of british heavy
1698,Christian Muenzner,25,2011,Germany,Progressive
1699,Christopher Lee,25,2009,United Kingdom,Heavy
1700,Concerto Moon,25,1996,Japan,Power
1701,Coronatus,25,2002,Germany,Gothic
1702,Death Breath,25,2005,Sweden,Death
1703,Depressed Mode,25,2005,Finland,Funeral doom
1704,Fall Of The Leafe,25,1996,Finland,Melodic death
1705,Forever Slave,25,2000,Spain,Gothic
1706,Gallhammer,25,2003,Japan,Black
1707,Germ,25,2003,Australia,Depressive black
1708,Glittertind,25,2001,Norway,Viking folk
1709,Irminsul,25,2005,Sweden,Viking folk
1710,Izegrim,25,1996,Netherlands,Death
1711,Lääz Rockit,25,1982,USA,Bay area thrash
